RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          DAE        
     1        5070.7       13090.       895.30       2000.0      0.14024E+06   6579.0       124.00    
     2        6449.5       11969.       1003.4       2450.0      0.13741E+06   6342.4       148.00    
     3        7215.0       12562.       1720.5       950.00      0.13566E+06   6195.5       110.00    
     4        5906.7       11064.       1743.4       1550.0      0.13350E+06   6015.4       140.00    
     5        6721.4       12443.       744.59       1450.0      0.13214E+06   5900.7       108.00    
     6        4735.9       10074.       906.59       2100.0      0.12994E+06   5716.8       139.00    
     7        7120.7       12695.       508.30       1900.0      0.12826E+06   5575.8       116.00    
     8        5454.3       10051.       1120.5       2300.0      0.12603E+06   5389.5       147.00    
     9        5460.6       12903.       261.90       1900.0      0.12466E+06   5273.9       108.00    
    10        6689.2       12343.       871.79       2050.0      0.12269E+06   5108.9       134.00    
